,Gene,Promoter,CpG_chrm,CpG_beg,CpG_end
4148,SFMBT1,SFMBT1_2,chr3,53046717,53046777
4149,RFT1,RFT1_1,chr3,53130424,53130484
4150,PRKCD,PRKCD_1,chr3,53161167,53161227
4151,PRKCD,PRKCD_2,chr3,53168691,53168751
4152,TKT,TKT_1,chr3,53256011,53256071
4153,DCP1A,DCP1A_1,chr3,53347532,53347592
4154,CACNA1D,CACNA1D_1,chr3,53494591,53494651
4155,CACNA1D,CACNA1D_2,chr3,53494739,53494799
4156,CHDH,CHDH_1,chr3,53846408,53846468
4157,IL17RB,IL17RB_1,chr3,53846518,53846578
4158,RP11-884K10,RP11-884K10_1,chr3,53891844,53891904
4159,CACNA2D3,CACNA2D3_1,chr3,54122538,54122598
4160,CACNA2D3,CACNA2D3_2,chr3,54123434,54123494
4161,WNT5A,WNT5A_2,chr3,55487292,55487352
4162,WNT5A,WNT5A_3,chr3,55487583,55487643
4163,ERC2,ERC2_1,chr3,56468348,56468408
4164,ERC2,ERC2_2,chr3,56468543,56468603
4165,CCDC66,CCDC66_1,chr3,56557125,56557185
4166,FAM208A,FAM208A_1,chr3,56683226,56683286
4167,ARHGEF3,ARHGEF3_1,chr3,56801938,56801998
4168,SPATA12,SPATA12_1,chr3,57060616,57060676
4169,ARHGEF3,ARHGEF3_2,chr3,57079257,57079317
4170,IL17RD,IL17RD_1,chr3,57165342,57165402
4171,IL17RD,IL17RD_2,chr3,57170273,57170333
4172,HESX1,HESX1_1,chr3,57227595,57227655
4173,APPL1,APPL1_1,chr3,57227716,57227776
4174,APPL1,APPL1_2,chr3,57227820,57227880
4175,PDE12,PDE12_1,chr3,57556237,57556297
4176,ARF4,ARF4_1,chr3,57597333,57597393
4177,DENND6A,DENND6A_1,chr3,57693066,57693126
4178,FLNB,FLNB_1,chr3,58008372,58008432
4179,ABHD6,ABHD6_1,chr3,58237488,58237548
4180,PXK,PXK_2,chr3,58237754,58237814
4181,RPP14,RPP14_1,chr3,58306212,58306272
4182,RP11-80H18,RP11-80H18_2,chr3,58306214,58306274
4183,RPP14,RPP14_2,chr3,58306242,58306302
4184,RP11-80H18,RP11-80H18_1,chr3,58306489,58306549
4185,PXK,PXK_1,chr3,58332887,58332947
4186,PDHB,PDHB_1,chr3,58433818,58433878
4187,KCTD6,KCTD6_1,chr3,58492071,58492131
4188,FAM107A,FAM107A_1,chr3,58577377,58577437
4189,FAM107A,FAM107A_2,chr3,58587003,58587063
4190,FAM3D,FAM3D_1,chr3,58666763,58666823
4191,C3orf67,C3orf67_1,chr3,59050014,59050074
4192,FHIT,FHIT_1,chr3,61251441,61251501
4193,PTPRG,PTPRG_3,chr3,61560980,61561040
4194,PTPRG,PTPRG_1,chr3,61561521,61561581
4195,PTPRG,PTPRG_2,chr3,61561795,61561855
4196,C3orf14,C3orf14_1,chr3,62318972,62319032
4197,FEZF2,FEZF2_2,chr3,62373064,62373124
4198,FEZF2,FEZF2_1,chr3,62373539,62373599
4199,CADPS,CADPS_2,chr3,62875349,62875409
4200,CADPS,CADPS_1,chr3,62875504,62875564
4201,SYNPR,SYNPR_1,chr3,63278268,63278328
4202,SYNPR,SYNPR_2,chr3,63443046,63443106
4203,SYNPR,SYNPR_3,chr3,63443313,63443373
4204,ATXN7,ATXN7_7,chr3,63863105,63863165
4205,ATXN7,ATXN7_6,chr3,63863490,63863550
4206,THOC7,THOC7_1,chr3,63863794,63863854
4207,ATXN7,ATXN7_5,chr3,63864100,63864160
4208,THOC7,THOC7_2,chr3,63864473,63864533
4209,RP11-245J9,RP11-245J9_1,chr3,63864499,63864559
4210,ATXN7,ATXN7_1,chr3,63912062,63912122
4211,ATXN7,ATXN7_12,chr3,63912678,63912738
4212,ATXN7,ATXN7_9,chr3,63913094,63913154
4213,ATXN7,ATXN7_2,chr3,63967758,63967818
4214,PSMD6,PSMD6_1,chr3,64023461,64023521
4215,PRICKLE2,PRICKLE2_2,chr3,64225455,64225515
4216,PRICKLE2,PRICKLE2_1,chr3,64445392,64445452
4217,ADAMTS9,ADAMTS9_2,chr3,64687625,64687685
4218,ADAMTS9,ADAMTS9_1,chr3,64687989,64688049
4219,MAGI1,MAGI1_3,chr3,65598037,65598097
4220,MAGI1,MAGI1_5,chr3,66038345,66038405
4221,MAGI1,MAGI1_4,chr3,66038487,66038547
4222,MAGI1,MAGI1_1,chr3,66038831,66038891
4223,SLC25A26,SLC25A26_1,chr3,66220951,66221011
4224,LRIG1,LRIG1_1,chr3,66501011,66501071
4225,SUCLG2,SUCLG2_1,chr3,67654591,67654651
4226,FAM19A1,FAM19A1_1,chr3,67654697,67654757
4227,FAM19A4,FAM19A4_1,chr3,68932560,68932620
4228,EOGT,EOGT_1,chr3,69013637,69013697
4229,EOGT,EOGT_2,chr3,69013903,69013963
4230,UBA3,UBA3_1,chr3,69080352,69080412
4231,ARL6IP5,ARL6IP5_1,chr3,69084973,69085033
4232,FRMD4B,FRMD4B_3,chr3,69200498,69200558
4233,FRMD4B,FRMD4B_2,chr3,69386077,69386137
4234,FRMD4B,FRMD4B_4,chr3,69386242,69386302
4235,FRMD4B,FRMD4B_1,chr3,69542572,69542632
4236,MITF,MITF_1,chr3,69739432,69739492
4237,FOXP1,FOXP1_1,chr3,71130575,71130635
4238,FOXP1,FOXP1_3,chr3,71306018,71306078
4239,FOXP1,FOXP1_2,chr3,71583711,71583771
4240,FOXP1,FOXP1_4,chr3,71583967,71584027
4241,EIF4E3,EIF4E3_1,chr3,71725391,71725451
4242,EIF4E3,EIF4E3_3,chr3,71753580,71753640
4243,EIF4E3,EIF4E3_2,chr3,71754762,71754822
4244,PROK2,PROK2_1,chr3,71785137,71785197
4245,RYBP,RYBP_1,chr3,72446891,72446951
4246,SHQ1,SHQ1_1,chr3,72848429,72848489
4247,PPP4R2,PPP4R2_1,chr3,72996761,72996821
4248,PPP4R2,PPP4R2_2,chr3,72996968,72997028
4249,PDZRN3,PDZRN3_3,chr3,73624737,73624797
4250,PDZRN3,PDZRN3_1,chr3,73624930,73624990
4251,ROBO2,ROBO2_1,chr3,77039775,77039835
4252,ROBO2,ROBO2_2,chr3,77040382,77040442
4253,ROBO1,ROBO1_1,chr3,79019006,79019066
4254,ROBO1,ROBO1_2,chr3,79767982,79768042
4255,GBE1,GBE1_1,chr3,81761634,81761694
4256,CADM2,CADM2_1,chr3,84958941,84959001
4257,VGLL3,VGLL3_2,chr3,86990849,86990909
4258,VGLL3,VGLL3_1,chr3,86991110,86991170
4259,CHMP2B,CHMP2B_1,chr3,87227262,87227322
4260,CGGBP1,CGGBP1_1,chr3,88058988,88059048
4261,C3orf38,C3orf38_2,chr3,88149709,88149769
4262,CGGBP1,CGGBP1_2,chr3,88149859,88149919
4263,C3orf38,C3orf38_1,chr3,88149909,88149969
4264,EPHA3,EPHA3_1,chr3,89107571,89107631
4265,PROS1,PROS1_1,chr3,93973885,93973945
4266,PROS1,PROS1_2,chr3,93974076,93974136
4267,ARL13B,ARL13B_1,chr3,93980105,93980165
4268,DHFRL1,DHFRL1_1,chr3,94062904,94062964
4269,DHFRL1,DHFRL1_2,chr3,94062905,94062965
4270,STX19,STX19_1,chr3,94062905,94062965
4271,NSUN3,NSUN3_1,chr3,94062930,94062990
4272,NSUN3,NSUN3_2,chr3,94062971,94063031
4273,EPHA6,EPHA6_1,chr3,96814544,96814604
4274,EPHA6,EPHA6_3,chr3,96814735,96814795
4275,ARL6,ARL6_2,chr3,97764498,97764558
4276,ARL6,ARL6_1,chr3,97764735,97764795
4277,RIOX2,RIOX2_1,chr3,97972405,97972465
4278,CLDND1,CLDND1_5,chr3,98521694,98521754
4279,CLDND1,CLDND1_3,chr3,98522593,98522653
4280,CLDND1,CLDND1_1,chr3,98522876,98522936
4281,CLDND1,CLDND1_4,chr3,98556274,98556334
4282,CPOX,CPOX_1,chr3,98593600,98593660
4283,ST3GAL6,ST3GAL6_1,chr3,98732238,98732298
4284,ST3GAL6,ST3GAL6_3,chr3,98732651,98732711
4285,ST3GAL6,ST3GAL6_2,chr3,98763290,98763350
4286,DCBLD2,DCBLD2_2,chr3,98901154,98901214
4287,DCBLD2,DCBLD2_1,chr3,98901684,98901744
4288,COL8A1,COL8A1_2,chr3,99638348,99638408
4289,COL8A1,COL8A1_1,chr3,99638544,99638604
4290,CMSS1,CMSS1_1,chr3,99817812,99817872
4291,FILIP1L,FILIP1L_1,chr3,99876162,99876222
4292,FILIP1L,FILIP1L_3,chr3,99876281,99876341
4293,TBC1D23,TBC1D23_1,chr3,100260942,100261002
4294,NIT2,NIT2_1,chr3,100334707,100334767
4295,TOMM70,TOMM70_2,chr3,100401071,100401131
4296,LNP1,LNP1_1,chr3,100401147,100401207
4297,TOMM70,TOMM70_1,chr3,100401397,100401457
4298,LNP1,LNP1_2,chr3,100401530,100401590
4299,TMEM45A,TMEM45A_1,chr3,100492569,100492629
4300,ADGRG7,ADGRG7_2,chr3,100603655,100603715
4301,TFG,TFG_2,chr3,100709311,100709371
4302,TFG,TFG_1,chr3,100709604,100709664
4303,ABI3BP,ABI3BP_1,chr3,100993410,100993470
4304,SENP7,SENP7_1,chr3,101513201,101513261
4305,TRMT10C,TRMT10C_1,chr3,101561818,101561878
4306,PCNP,PCNP_1,chr3,101574130,101574190
4307,CEP97,CEP97_1,chr3,101724569,101724629
4308,NXPE3,NXPE3_1,chr3,101779161,101779221
4309,NXPE3,NXPE3_2,chr3,101779614,101779674
4310,NFKBIZ,NFKBIZ_2,chr3,101827940,101828000
4311,NFKBIZ,NFKBIZ_1,chr3,101849464,101849524
4312,ALCAM,ALCAM_1,chr3,105366859,105366919
4313,ALCAM,ALCAM_2,chr3,105367374,105367434
4314,CBLB,CBLB_1,chr3,105869001,105869061
4315,BBX,BBX_1,chr3,107522919,107522979
4316,CD47,CD47_1,chr3,108091018,108091078
4317,CD47,CD47_2,chr3,108097413,108097473
4318,IFT57,IFT57_1,chr3,108222413,108222473
4319,KIAA1524,KIAA1524_1,chr3,108589410,108589470
4320,DZIP3,DZIP3_2,chr3,108589467,108589527
4321,KIAA1524,KIAA1524_2,chr3,108589623,108589683
4322,DZIP3,DZIP3_1,chr3,108589672,108589732
4323,KIAA1524,KIAA1524_3,chr3,108589840,108589900
4324,DZIP3,DZIP3_3,chr3,108602742,108602802
4325,TRAT1,TRAT1_1,chr3,108822736,108822796
4326,DPPA2,DPPA2_1,chr3,109337506,109337566
4327,NECTIN3,NECTIN3_1,chr3,111071775,111071835
4328,CD96,CD96_1,chr3,111542166,111542226
4329,PLCXD2,PLCXD2_2,chr3,111674426,111674486
4330,PLCXD2,PLCXD2_1,chr3,111674626,111674686
4331,PHLDB2,PHLDB2_1,chr3,111859215,111859275
4332,PHLDB2,PHLDB2_2,chr3,111859794,111859854
4333,ABHD10,ABHD10_1,chr3,111978984,111979044
4334,TAGLN3,TAGLN3_2,chr3,111998820,111998880
4335,TAGLN3,TAGLN3_1,chr3,111999283,111999343
4336,C3orf52,C3orf52_1,chr3,112086339,112086399
4337,GCSAM,GCSAM_1,chr3,112133235,112133295
4338,SLC9C1,SLC9C1_1,chr3,112294205,112294265
4339,CD200,CD200_1,chr3,112333106,112333166
4340,BTLA,BTLA_2,chr3,112499461,112499521
4341,SLC35A5,SLC35A5_2,chr3,112561659,112561719
4342,ATG3,ATG3_1,chr3,112561924,112561984
4343,SLC35A5,SLC35A5_1,chr3,112561998,112562058
4344,CCDC80,CCDC80_1,chr3,112641132,112641192
4345,CCDC80,CCDC80_2,chr3,112641289,112641349
4346,CD200R1,CD200R1_4,chr3,112974933,112974993
4347,CD200R1,CD200R1_2,chr3,112975079,112975139
4348,GTPBP8,GTPBP8_1,chr3,112990934,112990994
4349,CD200R1,CD200R1_1,chr3,112991252,112991312
4350,C3orf17,C3orf17_1,chr3,113019655,113019715
4351,BOC,BOC_2,chr3,113211013,113211073
4352,BOC,BOC_1,chr3,113211511,113211571
4353,BOC,BOC_3,chr3,113211659,113211719
4354,CFAP44,CFAP44_1,chr3,113441482,113441542
4355,SPICE1,SPICE1_1,chr3,113515145,113515205
4356,SIDT1,SIDT1_1,chr3,113532980,113533040
4357,USF3,USF3_1,chr3,113696594,113696654
4358,NAA50,NAA50_1,chr3,113746230,113746290
4359,ATP6V1A,ATP6V1A_2,chr3,113746294,113746354
4360,ATP6V1A,ATP6V1A_1,chr3,113747017,113747077
4361,GRAMD1C,GRAMD1C_2,chr3,113838836,113838896
4362,ZDHHC23,ZDHHC23_1,chr3,113947856,113947916
4363,CCDC191,CCDC191_1,chr3,114056506,114056566
4364,QTRT2,QTRT2_1,chr3,114056732,114056792
4365,TIGIT,TIGIT_1,chr3,114293978,114294038
4366,ZBTB20,ZBTB20_2,chr3,115147249,115147309
4367,GAP43,GAP43_2,chr3,115623250,115623310
4368,GAP43,GAP43_1,chr3,115623517,115623577
4369,LSAMP,LSAMP_2,chr3,116445457,116445517
4370,LSAMP,LSAMP_1,chr3,117997568,117997628
4371,IGSF11,IGSF11_1,chr3,119034781,119034841
4372,UPK1B,UPK1B_1,chr3,119173550,119173610
4373,B4GALT4,B4GALT4_2,chr3,119240615,119240675
4374,B4GALT4,B4GALT4_1,chr3,119240867,119240927
4375,ARHGAP31,ARHGAP31_1,chr3,119294005,119294065
4376,ARHGAP31,ARHGAP31_2,chr3,119294333,119294393
4377,ARHGAP31,ARHGAP31_3,chr3,119294620,119294680
4378,TMEM39A,TMEM39A_1,chr3,119463604,119463664
4379,POGLUT1,POGLUT1_1,chr3,119468913,119468973
4380,TIMMDC1,TIMMDC1_1,chr3,119498500,119498560
4381,CD80,CD80_1,chr3,119559603,119559663
4382,ADPRH,ADPRH_1,chr3,119579710,119579770
4383,POPDC2,POPDC2_2,chr3,119676913,119676973
4384,COX17,COX17_1,chr3,119677395,119677455
4385,MAATS1,MAATS1_1,chr3,119702972,119703032
4386,GSK3B,GSK3B_2,chr3,120093685,120093745
4387,GSK3B,GSK3B_3,chr3,120094285,120094345
4388,GSK3B,GSK3B_1,chr3,120094436,120094496
4389,LRRC58,LRRC58_1,chr3,120349343,120349403
4390,FSTL1,FSTL1_1,chr3,120450980,120451040
4391,FSTL1,FSTL1_2,chr3,120451307,120451367
4392,NDUFB4,NDUFB4_1,chr3,120596288,120596348
4393,FSTL1,FSTL1_3,chr3,120596743,120596803
4394,RABL3,RABL3_1,chr3,120742505,120742565
4395,GTF2E1,GTF2E1_1,chr3,120742694,120742754
4396,STXBP5L,STXBP5L_1,chr3,120908175,120908235
4397,POLQ,POLQ_1,chr3,121545977,121546037
4398,HCLS1,HCLS1_1,chr3,121660892,121660952
4399,GOLGB1,GOLGB1_1,chr3,121749730,121749790
4400,IQCB1,IQCB1_1,chr3,121834981,121835041
4401,EAF2,EAF2_1,chr3,121835174,121835234
4402,ILDR1,ILDR1_1,chr3,122022236,122022296
4403,CD86,CD86_1,chr3,122055316,122055376
4404,CD86,CD86_2,chr3,122077826,122077886
4405,ILDR1,ILDR1_2,chr3,122078396,122078456
4406,CASR,CASR_1,chr3,122183637,122183697
4407,CSTA,CSTA_1,chr3,122325198,122325258
4408,CCDC58,CCDC58_1,chr3,122383220,122383280
4409,IQCB1,IQCB1_2,chr3,122383221,122383281
4410,FAM162A,FAM162A_1,chr3,122384132,122384192
4411,KPNA1,KPNA1_1,chr3,122514926,122514986
4412,DTX3L,DTX3L_2,chr3,122564174,122564234
4413,PARP9,PARP9_1,chr3,122564261,122564321
4414,DTX3L,DTX3L_1,chr3,122564327,122564387
4415,PARP9,PARP9_2,chr3,122564559,122564619
4416,PARP9,PARP9_3,chr3,122564769,122564829
4417,PARP15,PARP15_1,chr3,122577600,122577660
4418,PARP14,PARP14_2,chr3,122680560,122680620
4419,PARP14,PARP14_1,chr3,122680809,122680869
4420,SEMA5B,SEMA5B_1,chr3,123027718,123027778
4421,PDIA5,PDIA5_1,chr3,123066975,123067035
4422,SEC22A,SEC22A_1,chr3,123201908,123201968
4423,ADCY5,ADCY5_2,chr3,123449079,123449139
4424,ADCY5,ADCY5_1,chr3,123449743,123449803
4425,HACD2,HACD2_1,chr3,123585023,123585083
4426,MYLK,MYLK_2,chr3,123884296,123884356
4427,CCDC14,CCDC14_1,chr3,123961218,123961278
4428,CCDC14,CCDC14_2,chr3,123961367,123961427
4429,ROPN1,ROPN1_1,chr3,123992133,123992193
4430,KALRN,KALRN_3,chr3,124033750,124033810
4431,KALRN,KALRN_1,chr3,124034244,124034304
4432,KALRN,KALRN_2,chr3,124584608,124584668
4433,UMPS,UMPS_1,chr3,124730403,124730463
4434,ITGB5,ITGB5_1,chr3,124887354,124887414
4435,ITGB5,ITGB5_2,chr3,124901395,124901455
4436,ZNF148,ZNF148_1,chr3,125375300,125375360
4437,SNX4,SNX4_1,chr3,125520191,125520251
4438,OSBPL11,OSBPL11_2,chr3,125595282,125595342
4439,OSBPL11,OSBPL11_1,chr3,125595486,125595546
4440,ROPN1B,ROPN1B_3,chr3,125969003,125969063
4441,ROPN1B,ROPN1B_2,chr3,125969148,125969208
4442,ALG1L,ALG1L_1,chr3,125990494,125990554
4443,SLC41A3,SLC41A3_1,chr3,126084113,126084173
4444,SLC41A3,SLC41A3_2,chr3,126084301,126084361
4445,ALDH1L1,ALDH1L1_1,chr3,126180572,126180632
4446,ALDH1L1,ALDH1L1_2,chr3,126180873,126180933
4447,KLF15,KLF15_1,chr3,126357397,126357457
4448,CFAP100,CFAP100_1,chr3,126394974,126395034
4449,ZXDC,ZXDC_1,chr3,126475880,126475940
4450,CHST13,CHST13_1,chr3,126524259,126524319
4451,TXNRD3,TXNRD3_1,chr3,126655058,126655118
4452,CHCHD6,CHCHD6_1,chr3,126704192,126704252
4453,PLXNA1,PLXNA1_1,chr3,126982643,126982703
4454,PLXNA1,PLXNA1_2,chr3,126983170,126983230
4455,MCM2,MCM2_3,chr3,127589137,127589197
4456,TPRA1,TPRA1_1,chr3,127590722,127590782
4457,MCM2,MCM2_2,chr3,127598155,127598215
4458,MCM2,MCM2_1,chr3,127598379,127598439
4459,PODXL2,PODXL2_1,chr3,127629135,127629195
4460,ABTB1,ABTB1_1,chr3,127672906,127672966
4461,MGLL,MGLL_4,chr3,127736333,127736393
4462,MGLL,MGLL_2,chr3,127822514,127822574
4463,MGLL,MGLL_3,chr3,127822841,127822901
4464,MGLL,MGLL_1,chr3,127823174,127823234
4465,KBTBD12,KBTBD12_1,chr3,127915182,127915242
4466,KBTBD12,KBTBD12_2,chr3,127915427,127915487
4467,SEC61A1,SEC61A1_1,chr3,128052394,128052454
4468,RUVBL1,RUVBL1_1,chr3,128123801,128123861
4469,EEFSEC,EEFSEC_2,chr3,128153155,128153215
4470,EEFSEC,EEFSEC_1,chr3,128153433,128153493
4471,GATA2,GATA2_1,chr3,128487920,128487980
4472,GATA2,GATA2_3,chr3,128488519,128488579
4473,GATA2,GATA2_2,chr3,128493189,128493249
4474,RPN1,RPN1_1,chr3,128650807,128650867
4475,RAB7A,RAB7A_1,chr3,128726133,128726193
4476,ACAD9,ACAD9_1,chr3,128879570,128879630
4477,KIAA1257,KIAA1257_1,chr3,128994065,128994125
4478,KIAA1257,KIAA1257_2,chr3,129003899,129003959
4479,KIAA1257,KIAA1257_3,chr3,129026734,129026794
4480,GP9,GP9_1,chr3,129060685,129060745
4481,RAB43,RAB43_2,chr3,129121607,129121667
4482,RAB43,RAB43_1,chr3,129121793,129121853
4483,ISY1,ISY1_1,chr3,129161052,129161112
4484,ISY1,ISY1_2,chr3,129161294,129161354
4485,CNBP,CNBP_1,chr3,129183885,129183945
4486,COPG1,COPG1_1,chr3,129249556,129249616
4487,HMCES,HMCES_2,chr3,129278795,129278855
4488,HMCES,HMCES_1,chr3,129278944,129279004
4489,EFCAB12,EFCAB12_1,chr3,129428625,129428685
4490,MBD4,MBD4_1,chr3,129439929,129439989
4491,IFT122,IFT122_1,chr3,129440197,129440257
4492,MBD4,MBD4_2,chr3,129440478,129440538
4493,PLXND1,PLXND1_1,chr3,129606661,129606721
4494,PLXND1,PLXND1_2,chr3,129606766,129606826
4495,TMCC1,TMCC1_2,chr3,129893590,129893650
4496,TRH,TRH_2,chr3,129974214,129974274
4497,TRH,TRH_1,chr3,129974671,129974731
4498,PIK3R4,PIK3R4_1,chr3,130746812,130746872
4499,ATP2C1,ATP2C1_5,chr3,130850548,130850608
4500,ATP2C1,ATP2C1_3,chr3,130893927,130893987
4501,ATP2C1,ATP2C1_1,chr3,130894034,130894094
4502,ATP2C1,ATP2C1_2,chr3,130894155,130894215
4503,ATP2C1,ATP2C1_6,chr3,130894379,130894439
4504,ATP2C1,ATP2C1_4,chr3,130894536,130894596
4505,ASTE1,ASTE1_1,chr3,131026753,131026813
4506,NEK11,NEK11_1,chr3,131026885,131026945
4507,NUDT16,NUDT16_1,chr3,131381744,131381804
4508,MRPL3,MRPL3_1,chr3,131502960,131503020
4509,CPNE4,CPNE4_1,chr3,132035000,132035060
4510,ACPP,ACPP_1,chr3,132317357,132317417
4511,DNAJC13,DNAJC13_1,chr3,132417466,132417526
4512,DNAJC13,DNAJC13_2,chr3,132417647,132417707
4513,ACAD11,ACAD11_1,chr3,132659798,132659858
4514,UBA5,UBA5_2,chr3,132659913,132659973
4515,ACAD11,ACAD11_2,chr3,132660051,132660111
4516,ACAD11,ACAD11_7,chr3,132660282,132660342
4517,UBA5,UBA5_1,chr3,132660321,132660381
4518,ACAD11,ACAD11_4,chr3,132660702,132660762
4519,ACAD11,ACAD11_5,chr3,132660934,132660994
4520,NPHP3,NPHP3_1,chr3,132722370,132722430
4521,TMEM108,TMEM108_1,chr3,133038341,133038401
4522,TOPBP1,TOPBP1_1,chr3,133661910,133661970
4523,TF,TF_1,chr3,133746343,133746403
4524,RAB6B,RAB6B_1,chr3,133895490,133895550
4525,RAB6B,RAB6B_2,chr3,133895869,133895929
4526,SLCO2A1,SLCO2A1_1,chr3,134029914,134029974
4527,SLCO2A1,SLCO2A1_2,chr3,134030051,134030111
4528,RYK,RYK_1,chr3,134250460,134250520
4529,RYK,RYK_2,chr3,134250801,134250861
4530,AMOTL2,AMOTL2_1,chr3,134374436,134374496
4531,CEP63,CEP63_1,chr3,134485690,134485750
4532,ANAPC13,ANAPC13_2,chr3,134485713,134485773
4533,ANAPC13,ANAPC13_1,chr3,134485974,134486034
4534,CEP63,CEP63_2,chr3,134486010,134486070
4535,KY,KY_1,chr3,134651011,134651071
4536,EPHB1,EPHB1_1,chr3,134795210,134795270
4537,EPHB1,EPHB1_2,chr3,134795474,134795534
4538,PPP2R3A,PPP2R3A_1,chr3,135965708,135965768
4539,MSL2,MSL2_1,chr3,136195833,136195893
4540,MSL2,MSL2_2,chr3,136197225,136197285
4541,PCCB,PCCB_1,chr3,136250302,136250362
4542,STAG1,STAG1_1,chr3,136752367,136752427
4543,SLC35G2,SLC35G2_1,chr3,136818944,136819004
4544,SLC35G2,SLC35G2_2,chr3,136819063,136819123
4545,NCK1,NCK1_2,chr3,136819127,136819187
4546,NCK1,NCK1_1,chr3,136862183,136862243
4547,DZIP1L,DZIP1L_1,chr3,138115592,138115652
4548,DZIP1L,DZIP1L_2,chr3,138115797,138115857
4549,DBR1,DBR1_1,chr3,138174910,138174970
4550,ARMC8,ARMC8_2,chr3,138187251,138187311
4551,ARMC8,ARMC8_1,chr3,138187481,138187541
4552,MRAS,MRAS_1,chr3,138348529,138348589
4553,ESYT3,ESYT3_1,chr3,138434566,138434626
4554,FAIM,FAIM_2,chr3,138608534,138608594
4555,FAIM,FAIM_1,chr3,138608721,138608781
4556,FAIM,FAIM_3,chr3,138608918,138608978
4557,MRPS22,MRPS22_1,chr3,139343970,139344030
4558,COPB2,COPB2_1,chr3,139389632,139389692
4559,RBP1,RBP1_1,chr3,139539625,139539685
4560,NMNAT3,NMNAT3_1,chr3,139677961,139678021
4561,CLSTN2,CLSTN2_1,chr3,139935135,139935195
4562,SLC25A36,SLC25A36_1,chr3,140941786,140941846
4563,SPSB4,SPSB4_2,chr3,141050894,141050954
4564,SPSB4,SPSB4_1,chr3,141051309,141051369
4565,PXYLP1,PXYLP1_1,chr3,141231792,141231852
4566,ZBTB38,ZBTB38_1,chr3,141368468,141368528
4567,RASA2,RASA2_1,chr3,141402306,141402366
4568,ZBTB38,ZBTB38_4,chr3,141402964,141403024
4569,RASA2,RASA2_2,chr3,141486990,141487050
4570,RNF7,RNF7_1,chr3,141738269,141738329
4571,ATP1B3,ATP1B3_1,chr3,141876593,141876653
4572,TFDP2,TFDP2_2,chr3,142028615,142028675
4573,TFDP2,TFDP2_3,chr3,142149484,142149544
4574,GK5,GK5_1,chr3,142225574,142225634
4575,XRN1,XRN1_1,chr3,142448026,142448086
4576,ATR,ATR_2,chr3,142578712,142578772
4577,ATR,ATR_1,chr3,142578824,142578884
4578,PLS1,PLS1_1,chr3,142578961,142579021
4579,TRPC1,TRPC1_1,chr3,142723987,142724047
4580,TRPC1,TRPC1_2,chr3,142724507,142724567
4581,PCOLCE2,PCOLCE2_1,chr3,142889072,142889132
4582,PCOLCE2,PCOLCE2_2,chr3,142889175,142889235
4583,U2SURP,U2SURP_1,chr3,143001552,143001612
4584,CHST2,CHST2_3,chr3,143119002,143119062
4585,CHST2,CHST2_1,chr3,143119310,143119370
4586,CHST2,CHST2_2,chr3,143119721,143119781
4587,SLC9A9,SLC9A9_1,chr3,143848447,143848507
4588,C3orf58,C3orf58_1,chr3,143971773,143971833
4589,C3orf58,C3orf58_2,chr3,143972021,143972081
4590,PLOD2,PLOD2_2,chr3,146160989,146161049
4591,PLOD2,PLOD2_1,chr3,146161173,146161233
4592,PLOD2,PLOD2_4,chr3,146189681,146189741
4593,PLSCR4,PLSCR4_1,chr3,146251094,146251154
4594,PLSCR1,PLSCR1_1,chr3,146544596,146544656
4595,PLSCR1,PLSCR1_2,chr3,146544715,146544775
4596,ZIC4,ZIC4_1,chr3,147406045,147406105
4597,ZIC4,ZIC4_3,chr3,147406750,147406810
4598,ZIC4,ZIC4_2,chr3,147409254,147409314
4599,ZIC1,ZIC1_1,chr3,147409316,147409376
4600,AGTR1,AGTR1_2,chr3,148697603,148697663
4601,AGTR1,AGTR1_1,chr3,148697853,148697913
4602,GYG1,GYG1_1,chr3,148991491,148991551
4603,HLTF,HLTF_1,chr3,149086522,149086582
4604,HPS3,HPS3_1,chr3,149129602,149129662
4605,TM4SF1,TM4SF1_1,chr3,149377637,149377697
4606,WWTR1,WWTR1_3,chr3,149657300,149657360
4607,WWTR1,WWTR1_1,chr3,149658014,149658074
4608,COMMD2,COMMD2_1,chr3,149752478,149752538
4609,WWTR1,WWTR1_2,chr3,149752478,149752538
4610,RNF13,RNF13_2,chr3,149812664,149812724
4611,RNF13,RNF13_1,chr3,149813165,149813225
4612,PFN2,PFN2_1,chr3,149970884,149970944
4613,PFN2,PFN2_2,chr3,149971139,149971199
4614,TSC22D2,TSC22D2_1,chr3,150408248,150408308
4615,TSC22D2,TSC22D2_2,chr3,150408591,150408651
4616,TSC22D2,TSC22D2_3,chr3,150410995,150411055
4617,SERP1,SERP1_1,chr3,150546435,150546495
4618,EIF2A,EIF2A_1,chr3,150546737,150546797
4619,SERP1,SERP1_2,chr3,150603172,150603232
4620,SELT,SELT_1,chr3,150603271,150603331
4621,ERICH6,ERICH6_1,chr3,150703960,150704020
4622,SIAH2,SIAH2_1,chr3,150763137,150763197
4623,SIAH2,SIAH2_2,chr3,150763479,150763539
4624,MED12L,MED12L_1,chr3,151085614,151085674
4625,MED12L,MED12L_2,chr3,151086842,151086902
4626,GPR171,GPR171_2,chr3,151199988,151200048
4627,GPR171,GPR171_1,chr3,151203205,151203265
4628,P2RY14,P2RY14_2,chr3,151278355,151278415
4629,P2RY14,P2RY14_1,chr3,151278531,151278591
